"","species","cell","year","elev_factor","arr_GAM_mean","arr_GAM_sd"
"176","Tree Swallow",589,2009,0,100.200333333333,8.01067559760506
"177","Tree Swallow",590,2009,0,95.0926666666667,1.7848832337929
"178","Tree Swallow",591,2009,0,96.7746666666667,2.0197156497861
"179","Tree Swallow",592,2009,0,104.407,3.37557143224147
"180","Tree Swallow",594,2009,0,97.1606666666667,1.31887554370713
"181","Tree Swallow",595,2009,0,101.776666666667,2.04503861818598
"182","Tree Swallow",618,2009,0,87.5046666666667,2.75072724729634
"183","Tree Swallow",619,2009,0,94.4503333333333,2.07033700654323
"184","Tree Swallow",620,2009,0,93.2796666666667,1.72659016370998
"185","Tree Swallow",621,2009,0,95.9033333333333,1.84059360456384
"186","Tree Swallow",621,2009,1,101.913666666667,4.03959395591502
"187","Tree Swallow",622,2009,0,92.3196666666667,2.56625702413591
"188","Tree Swallow",646,2009,0,76.1763333333333,1.59731765681963
"189","Tree Swallow",647,2009,0,80.21,1.73826748745775
"190","Tree Swallow",648,2009,0,92.518,2.55300775874373
"191","Tree Swallow",648,2009,1,84.115,7.30823132376732
"192","Tree Swallow",649,2009,0,86.7203333333333,2.44529065164298
"193","Tree Swallow",674,2009,0,74.6106666666667,4.06881694263328
"194","Tree Swallow",701,2009,0,64.4933333333333,5.23065408302511
"195","Tree Swallow",702,2009,0,63.8073333333333,9.8558574224028
"196","Tree Swallow",702,2009,1,78.3606666666667,7.87129205627008
"197","Tree Swallow",736,2009,0,101.754666666667,1.98606639083181
"198","Tree Swallow",738,2009,0,119.580666666667,5.74582437266079
"199","Tree Swallow",226,2010,0,127.693666666667,8.34464124861449
"200","Tree Swallow",392,2010,1,103.163,7.41728407399538
"201","Tree Swallow",392,2010,2,122.900666666667,3.66659890608016
"202","Tree Swallow",393,2010,2,115.159333333333,6.99206043966676
"203","Tree Swallow",417,2010,0,72.8673333333333,4.54077149364233
"204","Tree Swallow",419,2010,1,108.175333333333,8.83115250918226
"205","Tree Swallow",471,2010,0,51.6096666666667,3.3769475092726
"206","Tree Swallow",498,2010,0,55.3253333333333,7.89051614094706
"207","Tree Swallow",506,2010,0,111.476,5.43549496689847
"208","Tree Swallow",529,2010,2,82.8316666666667,3.58863344262837
"209","Tree Swallow",529,2010,3,113.567333333333,10.3533503519421
"210","Tree Swallow",534,2010,0,104.189333333333,2.39375498116637
"211","Tree Swallow",558,2010,3,105.815,2.54380266084572
"212","Tree Swallow",558,2010,4,116.089666666667,5.94116085904144
"213","Tree Swallow",558,2010,5,140.605666666667,7.16211792697914
"214","Tree Swallow",563,2010,0,97.1583333333333,1.71976250780449
"215","Tree Swallow",567,2010,0,97.8576666666667,1.7535961874821
"216","Tree Swallow",589,2010,0,97.94,2.4848456999817
"217","Tree Swallow",590,2010,0,90.496,1.29223603029244
"218","Tree Swallow",591,2010,0,92.6106666666667,1.72319742301198
"219","Tree Swallow",592,2010,0,93.8973333333333,1.71321469478263
"220","Tree Swallow",594,2010,0,98.1756666666667,1.2881618722914
"221","Tree Swallow",595,2010,0,97.3246666666667,2.58846639440819
"222","Tree Swallow",618,2010,0,88.4656666666667,2.19205145592373
"223","Tree Swallow",619,2010,0,91.7136666666667,1.52549082690673
"224","Tree Swallow",620,2010,0,91.1556666666667,1.52890387900807
"225","Tree Swallow",621,2010,0,93.428,1.45997483157633
"226","Tree Swallow",621,2010,1,101.213333333333,4.77969009121002
"227","Tree Swallow",622,2010,0,90.1746666666667,2.2384135127154
"228","Tree Swallow",646,2010,0,81.1466666666667,2.0054499491939
"229","Tree Swallow",647,2010,0,81.7506666666667,1.68684558814226
"230","Tree Swallow",648,2010,0,85.4086666666667,1.9701824184094
"231","Tree Swallow",648,2010,1,90.8363333333333,10.3591497664392
"232","Tree Swallow",649,2010,0,82.073,2.00025115128644
"233","Tree Swallow",674,2010,0,74.365,3.33148734591302
"234","Tree Swallow",701,2010,0,69.8093333333333,2.71602132039247
"235","Tree Swallow",702,2010,0,77.1156666666667,7.17129209875581
"236","Tree Swallow",702,2010,1,90.3356666666667,5.29499829000783
"237","Tree Swallow",736,2010,0,99.6373333333333,3.84005923225037
"238","Tree Swallow",738,2010,0,110.422,6.08004152685842
"239","Tree Swallow",739,2010,0,130.737333333333,13.7886081528854
"240","Tree Swallow",116,2011,0,125.543,4.75538525214295
"241","Tree Swallow",392,2011,1,117.977666666667,12.0636511242813
"242","Tree Swallow",392,2011,2,117.245666666667,2.76330596246048
"243","Tree Swallow",393,2011,2,125.085666666667,4.92419981352201
"244","Tree Swallow",417,2011,0,80.018,4.035150159817
"245","Tree Swallow",419,2011,1,127.053666666667,5.93440749243912
"246","Tree Swallow",471,2011,2,80.4093333333333,4.89071425433219
"247","Tree Swallow",498,2011,1,80.7813333333333,10.2436889160965
"248","Tree Swallow",506,2011,0,126.899,4.20539662658932
"249","Tree Swallow",529,2011,2,88.8236666666667,5.57371168757538
"250","Tree Swallow",529,2011,3,111.091666666667,12.9015534174151
"251","Tree Swallow",534,2011,0,111.060666666667,2.33840592490812
"252","Tree Swallow",558,2011,2,91.97,12.5414325009703
"253","Tree Swallow",558,2011,3,119.030333333333,4.11530377136354
"254","Tree Swallow",558,2011,4,126.296666666667,4.46168403524561
"255","Tree Swallow",558,2011,5,139.155333333333,5.64161449943857
"256","Tree Swallow",563,2011,0,102.654666666667,1.78861527550137
"257","Tree Swallow",567,2011,0,101.564666666667,2.48284911653272
"258","Tree Swallow",589,2011,0,95.1633333333333,2.1891215071835
"259","Tree Swallow",590,2011,0,95.8933333333333,1.87201950877546
"260","Tree Swallow",591,2011,0,99.676,2.60690544234509
"261","Tree Swallow",592,2011,0,104.203,2.17379072636736
"262","Tree Swallow",594,2011,0,100.171,1.72242501026082
"263","Tree Swallow",595,2011,0,101.377333333333,2.00839009303743
"264","Tree Swallow",618,2011,0,83.824,2.4311165012152
"265","Tree Swallow",619,2011,0,90.0626666666667,2.01264911854506
"266","Tree Swallow",620,2011,0,96.857,1.69946473734067
"267","Tree Swallow",621,2011,0,100.801666666667,1.76277234614598
"268","Tree Swallow",621,2011,1,111.678666666667,4.05564145745568
"269","Tree Swallow",622,2011,0,94.8766666666667,2.81391096528109
"270","Tree Swallow",622,2011,1,101.616333333333,6.15644111030097
"271","Tree Swallow",646,2011,0,77.3313333333333,2.08894058790946
"272","Tree Swallow",647,2011,0,83.7106666666667,1.73049639163912
"273","Tree Swallow",648,2011,0,86.803,2.41014396485157
"274","Tree Swallow",648,2011,1,89.2263333333333,3.52002415885391
"275","Tree Swallow",649,2011,0,83.9983333333333,2.91841902613262
"276","Tree Swallow",674,2011,0,70.0076666666667,2.52343624165755
"277","Tree Swallow",701,2011,0,69.0966666666667,3.72522231766028
"278","Tree Swallow",701,2011,1,66.2123333333333,12.6673623370619
"279","Tree Swallow",702,2011,0,70.5226666666667,4.54566173060409
"280","Tree Swallow",702,2011,1,75.641,3.42627574126072
"281","Tree Swallow",736,2011,0,104.112,3.39243651994364
"282","Tree Swallow",738,2011,0,119.098,4.9836407265804
"283","Tree Swallow",739,2011,0,119.92,3.73250280541051
"284","Tree Swallow",226,2012,0,129.422333333333,6.01337576725932
"285","Tree Swallow",392,2012,1,103.989666666667,3.40354049751064
"286","Tree Swallow",392,2012,2,113.514666666667,2.42234200774575
"287","Tree Swallow",393,2012,2,118.105,3.10706607909671
"288","Tree Swallow",417,2012,0,83.3786666666667,6.16814074166263
"289","Tree Swallow",417,2012,2,95.1506666666667,5.96169552169403
"290","Tree Swallow",419,2012,1,107.356666666667,4.33878599497507
"291","Tree Swallow",471,2012,2,75.367,4.46791880329207
"292","Tree Swallow",471,2012,3,83.759,10.3137631462404
"293","Tree Swallow",498,2012,1,66.3383333333333,9.69449285003741
"294","Tree Swallow",506,2012,0,124.05,3.87313400951802
"295","Tree Swallow",529,2012,2,93.451,4.58845838128365
"296","Tree Swallow",529,2012,3,105.019666666667,4.47369547532658
"297","Tree Swallow",529,2012,4,113.403666666667,8.5137270180653
"298","Tree Swallow",534,2012,0,100.892,2.01652129157446
"299","Tree Swallow",558,2012,2,93.612,13.0431398507308
"300","Tree Swallow",558,2012,3,102.913,2.81177281362698
"301","Tree Swallow",558,2012,4,109.949666666667,3.74154151830498
"302","Tree Swallow",558,2012,5,124.111333333333,5.98605734322638
"303","Tree Swallow",563,2012,0,97.5623333333333,2.44706162415659
"304","Tree Swallow",567,2012,0,100.869,2.77964286761634
"305","Tree Swallow",589,2012,0,91.8076666666667,2.58719392644357
"306","Tree Swallow",590,2012,0,84.607,1.65593831726008
"307","Tree Swallow",591,2012,0,91.2133333333333,2.05033904162639
"308","Tree Swallow",592,2012,0,91.6846666666667,2.12745706891638
